Bus Name ,x,y
rr6,42.675663,-75.4811034
s1,42.6661841,-75.4925041
s011,42.6662136,-75.4920803
s2,42.6659859,-75.4930124
s3,42.6655736,-75.493986
s4,42.6652877,-75.4946874
s5,42.6646043,-75.4947571
s6,42.6640116,-75.4946874
s7,42.6636053,-75.4950616
s8,42.6633311,-75.49559
s9,42.6629179,-75.4960741
s10,42.6623114,-75.4967648
s11,42.6618992,-75.4972395
s12,42.6613696,-75.4976003
s0121,42.6614712,-75.4980066
s13,42.6609524,-75.4978698
s14,42.6604159,-75.4979879
s15,42.659764,-75.4983352
s16,42.65912,-75.4986799
s17,42.6584917,-75.4990098
s17s,42.6583083,-75.4988448
s18,42.6583694,-75.4996723
s19,42.6582205,-75.5004863
s20,42.6580637,-75.5014385
s0201,42.658831,-75.5014144
s21,42.6581347,-75.5021413
s0211,42.6584888,-75.5025811
s22,42.6578398,-75.5032557
s23,42.6577136,-75.5037358
s25,42.6572648,-75.5053237
s26,42.6571415,-75.505946
s27,42.6569807,-75.5067493
s28,42.6570774,-75.5074319
s285,42.6570666,-75.507971
s29,42.657038,-75.5085504
s0291,42.6568851,-75.5086859
s30,42.6569995,-75.5095348
s31,42.656962,-75.5105232
s32,42.6569265,-75.5115357
s33,42.656891,-75.5125201
s34,42.6568614,-75.513424
s35,42.6568309,-75.5143011
s36,42.6567559,-75.5151688
s37,42.6567037,-75.5157816
s0371,42.6562736,-75.515909
s0372,42.6552114,-75.5158138
s38,42.6566524,-75.5163677
s39,42.6565942,-75.5170611
s0391,42.6562638,-75.5170195
s40,42.6564433,-75.5176552
s41,42.6563979,-75.5186476
s42,42.6563466,-75.5193758
s43,42.6563111,-75.5200812
s44,42.6562707,-75.5213191
s45,42.6562243,-75.5225904
s46,42.6562776,-75.5238202
s47,42.6561355,-75.5252713
s48,42.6560833,-75.5267143
ss1,42.6638341,-75.4944997
ss2,42.6635836,-75.4945949
ss3,42.6631852,-75.4942556
ss031,42.6631092,-75.4937701
ss4,42.6620057,-75.4939994
ss5,42.661551,-75.4934818
ss6,42.6611092,-75.4934147
ss7,42.6604603,-75.4931223
sss1,42.6582186,-75.4991117
sss011,42.6585637,-75.4980536
sss2,42.6571228,-75.4990916
sss3,42.6564294,-75.4990742
sss4,42.6557548,-75.4990621
sss5,42.6550506,-75.498822
sss6,42.6541728,-75.4989012
sss7,42.6533817,-75.4993357
sss8,42.6523757,-75.4993531
sss9,42.6516773,-75.4998788
sss10,42.6510046,-75.5002932
sss11,42.6503161,-75.5009316
sss12,42.6502165,-75.5023921
u1,42.6452439,-75.4896878
u2,42.6446047,-75.490302
u021,42.6440128,-75.4905649
u3,42.643707,-75.491159
u4,42.6428448,-75.4919837
u041,42.6424689,-75.4920588
u5,42.6419066,-75.4928595
u055,42.641441,-75.4932994
u0551,42.6413581,-75.4930553
u6,42.6411006,-75.4936467
u061,42.640635,-75.4940745
u062,42.6405294,-75.4938948
u7,42.6402443,-75.4944098
u8,42.6394284,-75.4942971
u9,42.6387517,-75.4944527
v1,42.67812919,-75.49839556
v2,42.67811563,-75.4980633
v3,42.67810627,-75.49775485
v4,42.6780932,-75.49741287
v5,42.67810701,-75.49714129
v6,42.67809345,-75.49680803
v7,42.67806806,-75.49640637
v8,42.67807151,-75.4960721
v9,42.67804538,-75.49565401
v10,42.67803626,-75.49524162
v11,42.67803207,-75.49486578
v12,42.67801778,-75.49449161
v13,42.67801704,-75.49414057
v14,42.67799584,-75.49383815
v15,42.67798721,-75.49342878
v16,42.67797957,-75.49310826
v17,42.6779633,-75.49277566
v19,42.67796725,-75.49219329
v20,42.67795542,-75.49176145
v21,42.67794778,-75.49132761
v22,42.67793274,-75.49108487
v23,42.67791622,-75.49084682
v24,42.6779002,-75.49050316
v25,42.67789182,-75.48969481
v26,42.67785805,-75.48925661
v27,42.6778265,-75.48880868
v30,42.67778164,-75.48820753
v0302,42.67792732,-75.48784845
v0303,42.6784718,-75.48810996
v31,42.67768625,-75.48765264
v32,42.67760368,-75.48721042
v33,42.67757928,-75.48663106
v34,42.67770572,-75.48617978
v36,42.67828546,-75.48560444
v37,42.67851445,-75.48514612
v38,42.67868353,-75.48469048
v39,42.67875625,-75.4842459
v40,42.67882181,-75.48375741
v41,42.67887431,-75.48333228
v42,42.67895491,-75.48276633
v44,42.6790434,-75.48196502
v45,42.67912844,-75.48145674
v46,42.67922456,-75.48090354
